Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,CaboVerde,2007,23.1,6.7,-0.7,1.65,1.58,485994,11231,3232,-345,7999,7654
Africa,Cameroon,1998,40.6,13.9,0.1,2.67,2.68,15005259,609664,209173,1951,400490,402441
Africa,Cameroon,1999,40.5,14.1,-0.2,2.64,2.62,15408304,623420,217411,-2311,406009,403698
Africa,Cameroon,2000,40.6,13.9,-0.4,2.66,2.63,15817991,641736,220503,-5536,421233,415697
Africa,Cameroon,2001,40.7,13.8,-0.2,2.69,2.67,16242956,660763,223828,-2924,436936,434012
Africa,Cameroon,2002,40.8,13.6,1,2.72,2.81,16694951,680820,227552,16695,453268,469963
Africa,Cameroon,2003,40.9,13.5,-0.1,2.74,2.73,17164362,701336,231547,-858,469789,468930
Africa,Cameroon,2004,40.9,13.4,-0.1,2.76,2.75,17641434,721711,235513,-1058,486198,485139
Africa,Cameroon,2005,40.9,13.2,-0.5,2.77,2.73,18131040,742285,239511,-8703,502774,494071
Africa,Cameroon,2006,41,13.1,-1,2.79,2.68,18628001,762817,243654,-19373,519162,499789
Africa,Cameroon,2007,40.3,12.7,1.2,2.75,2.87,19152718,771088,244006,22409,527083,549491
Africa,CentralAfricanRepublic,1998,40,17.6,2.6,2.23,2.5,3797957,151766,66958,10027,84808,94835
Africa,CentralAfricanRepublic,1999,39.8,17.7,0.4,2.21,2.25,3889215,154674,68800,1595,85874,87468
Africa,CentralAfricanRepublic,2000,39.6,17.8,1.7,2.18,2.36,3979862,157563,70682,6925,86880,93805
Africa,CentralAfricanRepublic,2001,39.4,17.8,-8.2,2.16,1.34,4053927,159806,72282,-33121,87524,54404
Africa,CentralAfricanRepublic,2002,39.3,17.7,1.6,2.15,2.31,4128418,162040,73156,6482,88885,95366
Africa,CentralAfricanRepublic,2003,39.1,17.6,-3.1,2.15,1.84,4214915,164761,74098,-13066,90663,77597
Africa,CentralAfricanRepublic,2004,38.7,17.4,-4.8,2.13,1.65,4288752,165846,74624,-20543,91222,70679
Africa,CentralAfricanRepublic,2005,38.2,17.2,-3.1,2.11,1.8,4363038,166799,74870,-13351,91929,78578
Africa,CentralAfricanRepublic,2006,38,16.9,0,2.11,2.11,4448948,168838,75143,0,93695,93695
Africa,CentralAfricanRepublic,2007,37.7,16.5,0,2.12,2.12,4543731,171162,75062,0,96100,96100
Africa,Chad,1998,49.2,17,0,3.22,3.22,7587759,373621,129068,-76,244553,244478
Africa,Chad,1999,49.8,16.8,1.9,3.3,3.49,7846929,390934,131985,14909,258949,273858
Africa,Chad,2000,50.5,16.6,-0.8,3.38,3.31,8118148,409804,135086,-6170,274718,268548
Africa,Chad,2001,51.2,16.3,0.3,3.49,3.52,8400354,430098,137094,2856,293004,295860
Africa,Chad,2002,52,16,2.1,3.59,3.8,8713938,452689,139510,18125,313179,331304
Africa,Chad,2003,51.8,15.7,11.6,3.61,4.76,9096232,470730,142629,105152,328101,433254
Africa,Chad,2004,51.6,15.3,11.6,3.63,4.78,9541047,491936,145978,110390,345958,456348
Africa,Chad,2005,51.3,14.9,1.7,3.63,3.8,9958591,510378,148682,17029,361696,378725
Africa,Chad,2006,50.9,14.6,2,3.63,3.83,10346100,526306,150743,20692,375563,396256
Africa,Chad,2007,50.4,14.2,-1.3,3.62,3.49,10731560,540656,152388,-13629,388268,374639
Africa,Comoros,1998,39.3,10.8,-3.8,2.85,2.47,518339,20371,5603,-1975,14767,12793
Africa,Comoros,1999,39.6,10.7,-3.7,2.89,2.52,531430,21055,5692,-1977,15364,13387
Africa,Comoros,2000,40,10.6,-3.6,2.94,2.57,545143,21789,5779,-1973,16011,14037
Africa,Comoros,2001,40.2,10.5,-3.5,2.97,2.62,559494,22514,5875,-1975,16639,14664
Africa,Comoros,2002,40.4,10.4,-3.4,3.01,2.66,574470,23232,5969,-1976,17263,15287
Africa,Comoros,2003,40.6,10.3,-3.4,3.03,2.69,590061,23939,6066,-1977,17873,15896
Africa,Comoros,2004,40.6,10.2,-3.3,3.05,2.72,606260,24638,6166,-1976,18473,16496
Africa,Comoros,2005,40.7,10.1,-3.2,3.06,2.74,623059,25334,6262,-1975,19072,17097
Africa,Comoros,2006,39.4,9.8,-3.1,2.96,2.65,640080,25194,6273,-1978,18921,16943
Africa,Comoros,2007,38.1,9.5,-3,2.85,2.55,656937,24996,6247,-1977,18749,16772
Africa,Congo(Brazzaville),1998,36.4,12.7,3.8,2.37,2.75,2756174,100214,34893,10501,65321,75822
Africa,Congo(Brazzaville),1999,36.5,12.9,0.9,2.36,2.45,2828666,103105,36433,2489,66672,69161
Africa,Congo(Brazzaville),2000,36.5,13.1,28.2,2.34,5.16,2939099,107307,38620,83000,68687,151687
Africa,Congo(Brazzaville),2001,36.6,12.8,-0.3,2.38,2.35,3050784,111598,39111,-793,72487,71693
Africa,Congo(Brazzaville),2002,36.7,12.6,-4.4,2.41,1.97,3117384,114377,39279,-13592,75098,61506
Africa,Congo(Brazzaville),2003,37.2,12.4,13.1,2.48,3.79,3208947,119277,39630,41973,79646,121619
Africa,Congo(Brazzaville),2004,38,12.1,11.6,2.59,3.74,3332121,126521,40352,38553,86169,124721
Africa,Congo(Brazzaville),2005,38.9,11.9,17.9,2.7,4.49,3472384,135041,41356,62121,93685,155806
Africa,Congo(Brazzaville),2006,39.7,11.7,14.9,2.8,4.29,3628152,144038,42522,54205,101516,155720
Africa,Congo(Brazzaville),2007,40.4,11.5,11.7,2.89,4.06,3782813,152863,43616,44297,109248,153544
Africa,Congo(Kinshasa),1998,45.9,13.9,-0.9,3.19,3.11,49348728,2262639,687428,-42933,1575211,1532278
Africa,Congo(Kinshasa),1999,45.3,13.9,-1,3.15,3.05,50889947,2306841,705844,-51399,1600998,1549599
Africa,Congo(Kinshasa),2000,44.8,13.8,-1.3,3.1,2.98,52445195,2351643,725317,-65556,1626325,1560769
Africa,Congo(Kinshasa),2001,44.4,13.8,0.2,3.05,3.08,54057719,2398000,747078,12974,1650923,1663897
Africa,Congo(Kinshasa),2002,43.9,13.8,-1,3.01,2.92,55701642,2445859,769240,-52917,1676619,1623703
Africa,Congo(Kinshasa),2003,43.2,13.5,-2.2,2.97,2.76,57303278,2476075,771875,-124348,1704199,1579851
Africa,Congo(Kinshasa),2004,42.5,13.1,-0.6,2.94,2.88,58942550,2507416,774505,-34187,1732911,1698724
Africa,Congo(Kinshasa),2005,41.9,12.8,0.8,2.91,2.99,60698054,2543248,778149,47344,1765099,1812444
Africa,Congo(Kinshasa),2006,41.2,12.5,0.7,2.87,2.94,62522207,2574664,781528,42515,1793137,1835652
Africa,Congo(Kinshasa),2007,40.5,12.2,0.1,2.83,2.84,64355014,2604447,784488,9010,1819960,1828969
Africa,Coted'Ivoire,1998,39.5,13.6,-1.7,2.6,2.43,15854069,626870,214823,-26793,412047,385254
Africa,Coted'Ivoire,1999,39.2,13.7,0.9,2.55,2.65,16261976,637307,222139,15286,415168,430455
Africa,Coted'Ivoire,2000,38.8,13.8,0,2.51,2.51,16686450,648102,229772,-167,418329,418162
Africa,Coted'Ivoire,2001,39.1,13.5,0.8,2.57,2.64,17121694,669801,230629,13012,439171,452184
Africa,Coted'Ivoire,2002,39.4,13.2,-5.5,2.62,2.07,17528762,690283,231555,-96759,458728,361969
Africa,Coted'Ivoire,2003,39.6,13,1.6,2.66,2.82,17963355,711528,233164,28921,478364,507285
Africa,Coted'Ivoire,2004,39.8,12.7,0.7,2.71,2.78,18473868,735445,235357,13671,500088,513758
Africa,Coted'Ivoire,2005,40,12.5,-0.9,2.75,2.66,18983045,759701,237478,-17654,522224,504569
Africa,Coted'Ivoire,2006,40.2,12.3,-0.6,2.79,2.73,19500993,782965,239472,-12091,543493,531402
Africa,Coted'Ivoire,2007,40.3,12.1,0.7,2.82,2.89,20056679,807482,241683,14240,565799,580039
Africa,Djibouti,1998,36.7,10.2,16.7,2.66,4.32,620884,22811,6321,10338,16491,26828
Africa,Djibouti,1999,35.9,10,10.9,2.59,3.68,646263,23194,6450,7025,16745,23770
Africa,Djibouti,2000,35,9.8,8.4,2.52,3.36,669416,23436,6554,5596,16883,22479
Africa,Djibouti,2001,34.1,9.6,11,2.45,3.55,692990,23659,6667,7616,16992,24608
Africa,Djibouti,2002,33.2,9.5,7,2.38,3.08,716351,23812,6770,5000,17042,22042
Africa,Djibouti,2003,31.9,9.4,-127.9,2.25,-10.54,690777,22015,6466,-88343,15549,-72794
Africa,Djibouti,2004,30.4,9.3,-8,2.11,1.31,657413,19952,6101,-5253,13852,8599
Africa,Djibouti,2005,29.3,9.1,-5.7,2.01,1.45,666400,19499,6084,-3785,13415,9629
Africa,Djibouti,2006,28.6,9,4,1.96,2.36,679141,19410,6105,2723,13304,16028
Africa,Djibouti,2007,27.9,8.8,1.8,1.9,2.08,694379,19345,6138,1257,13207,14464
Africa,Egypt,1998,27.2,6.4,-0.6,2.08,2.02,62900550,1709637,401306,-36482,1308331,1271849
Africa,Egypt,1999,27.1,6.2,-0.6,2.09,2.03,64187293,1736908,398603,-36587,1338305,1301718
Africa,Egypt,2000,27,6.1,-0.6,2.09,2.03,65504309,1765996,396956,-36682,1369040,1332358
Africa,Egypt,2001,26.9,6,-0.6,2.1,2.04,66852387,1798998,398440,-36769,1400558,1363789
Africa,Egypt,2002,26.8,5.9,0.5,2.1,2.14,68265356,1831560,401400,32085,1430159,1462244
Africa,Egypt,2003,26.7,5.8,0.2,2.1,2.12,69734297,1864695,403762,14644,1460934,1475578
Africa,Egypt,2004,26.5,5.7,0,2.08,2.08,71210963,1886378,406615,-2136,1479764,1477627
Africa,Egypt,2005,26.2,5.6,-0.3,2.06,2.03,72688283,1905160,409235,-19626,1495925,1476299
Africa,Egypt,2006,27.1,5.6,-0.5,2.15,2.1,74207202,2010273,412592,-36362,1597681,1561320
Africa,Egypt,2007,27.9,5.5,-0.6,2.24,2.18,75814404,2114464,416979,-43972,1697485,1653512
Africa,EquatorialGuinea,1998,40.6,12.1,0,2.86,2.86,464060,18855,5606,0,13249,13249
Africa,EquatorialGuinea,1999,40.5,11.8,0,2.87,2.87,477538,19336,5630,0,13705,13705
Africa,EquatorialGuinea,2000,40.4,11.5,0,2.89,2.89,491483,19841,5657,0,14184,14184
Africa,EquatorialGuinea,2001,40.3,11.2,0,2.9,2.9,505919,20373,5687,0,14687,14687
Africa,EquatorialGuinea,2002,39.9,11.1,0,2.88,2.88,520764,20763,5760,0,15003,15003
Africa,EquatorialGuinea,2003,39.5,10.9,0,2.86,2.86,535927,21148,5826,0,15322,15322
Africa,EquatorialGuinea,2004,39.1,10.7,0,2.84,2.84,551415,21538,5884,0,15655,15655
Africa,EquatorialGuinea,2005,38.7,10.5,0,2.82,2.82,567232,21929,5945,0,15985,15985
Africa,EquatorialGuinea,2006,38.1,10.2,0,2.79,2.79,583355,22232,5968,0,16264,16264
Africa,EquatorialGuinea,2007,37.6,10,0,2.76,2.76,599763,22533,5980,0,16553,16553
Africa,Eritrea,1998,39.7,10.6,-8.6,2.92,2.05,3717993,147753,39336,-32049,108417,76368
Africa,Eritrea,1999,36.4,10.3,0,2.61,2.62,3805989,138500,39011,114,99489,99603
Africa,Eritrea,2000,33.7,9.9,-9.1,2.38,1.47,3884349,130786,38416,-35270,92370,57100
Africa,Eritrea,2001,37.3,9.7,12.7,2.76,4.03,3993336,149071,38775,50556,110296,160852
Africa,Eritrea,2002,40.9,9.7,4.2,3.13,3.55,4147327,169792,40063,17377,129728,147106
Africa,Eritrea,2003,40.2,9.6,25.2,3.06,5.58,4342028,174463,41510,109376,132953,242329
Africa,Eritrea,2004,39.5,9.3,8.4,3.01,3.85,4550848,179667,42505,38227,137163,175390
Africa,Eritrea,2005,38.7,9.2,0.3,2.95,2.98,4708626,182035,43131,1318,138904,140223
Africa,Eritrea,2006,37.8,9,-1.5,2.88,2.73,4844793,182939,43458,-7316,139482,132166
Africa,Eritrea,2007,36.8,8.8,-5,2.8,2.3,4967933,182820,43618,-25038,139201,114163
Africa,Eswatini,1998,34.5,12.7,-21,2.18,0.08,1032922,35625,13128,-21681,22497,816
Africa,Eswatini,1999,34.5,14,-21,2.05,-0.05,1033082,35621,14422,-21684,21199,-486
Africa,Eswatini,2000,34.5,15.4,-21,1.91,-0.2,1031828,35567,15900,-21689,19667,-2022
Africa,Eswatini,2001,34.5,15.3,-21.1,1.92,-0.19,1029857,35520,15757,-21689,19763,-1926
Africa,Eswatini,2002,34.6,15.2,-21.1,1.93,-0.18,1027991,35517,15646,-21680,19871,-1809
Africa,Eswatini,2003,34.7,15.2,-21.1,1.95,-0.16,1026252,35560,15548,-21685,20012,-1673
Africa,Eswatini,2004,34.7,15.1,-21.2,1.96,-0.15,1024634,35586,15472,-21681,20114,-1568
Africa,Eswatini,2005,34.8,15.1,-21.2,1.98,-0.14,1023130,35646,15398,-21680,20248,-1432
Africa,Eswatini,2006,34.1,15,-21.2,1.91,-0.21,1021329,34838,15320,-21683,19518,-2165
Africa,Eswatini,2007,33.4,14.9,-21.3,1.85,-0.28,1018811,34008,15201,-21680,18807,-2873
Africa,Ethiopia,1998,44.2,14.9,-1.1,2.93,2.83,60764879,2685808,904181,-63803,1781626,1717823
Africa,Ethiopia,1999,43.9,14.4,-0.3,2.95,2.93,62538426,2744186,898052,-16260,1846134,1829874
Africa,Ethiopia,2000,43.5,13.9,-1.3,2.96,2.83,64365225,2797956,892102,-81744,1905854,1824110
Africa,Ethiopia,2001,43.1,13.5,-0.8,2.96,2.88,66230452,2857182,896098,-54309,1961084,1906775
Africa,Ethiopia,2002,42.9,13.2,-0.8,2.96,2.89,68167888,2921676,901179,-52489,2020496,1968007
Africa,Ethiopia,2003,42.6,12.9,-0.5,2.97,2.92,70174826,2988044,906659,-35789,2081385,2045596
Africa,Ethiopia,2004,42.3,12.6,-0.8,2.96,2.88,72238990,3053542,912378,-57791,2141164,2083372
Africa,Ethiopia,2005,41.9,12.4,-0.6,2.95,2.89,74354300,3112471,919019,-46100,2193452,2147352
Africa,Ethiopia,2006,41.5,12.1,-0.5,2.94,2.89,76535275,3177745,925311,-38268,2252433,2214166
Africa,Ethiopia,2007,41,11.6,-0.1,2.94,2.94,78799447,3227625,910134,-3940,2317492,2313552
Africa,Gabon,1998,34.5,10.6,-1.1,2.39,2.27,1129989,38973,12023,-1243,26950,25707
Africa,Gabon,1999,33.3,10.6,11.4,2.27,3.4,1162625,38739,12359,13196,26380,39576
Africa,Gabon,2000,33.1,10.6,5,2.25,2.75,1198880,39731,12732,5934,26999,32933
Africa,Gabon,2001,33,10.6,-1.5,2.24,2.09,1228189,40493,12970,-1830,27524,25694
Africa,Gabon,2002,32.8,10.5,-0.1,2.23,2.22,1254963,41163,13215,-88,27948,27860
Africa,Gabon,2003,32.6,10.3,0,2.24,2.24,1283232,41872,13192,0,28680,28680
Africa,Gabon,2004,32.3,10,11.2,2.23,3.35,1319661,42638,13249,14793,29389,44182
Africa,Gabon,2005,31.9,9.8,8.6,2.21,3.07,1362645,43427,13299,11664,30128,41792
Africa,Gabon,2006,31.5,9.5,12.6,2.2,3.46,1407901,44307,13375,17796,30932,48727
Africa,Gabon,2007,31.1,9.3,14.3,2.18,3.61,1458606,45348,13492,20814,31856,52670
Africa,"Gambia,The",1998,42.9,10.5,-1.9,3.24,3.05,1281565,55030,13495,-2448,41536,39088
Africa,"Gambia,The",1999,42.2,10.1,-3.2,3.21,2.89,1319628,55675,13355,-4196,42320,38124
Africa,"Gambia,The",2000,41.4,9.7,-4.4,3.17,2.73,1356581,56217,13213,-5955,43004,37048
Africa,"Gambia,The",2001,40.7,9.4,-4.2,3.13,2.71,1393296,56693,13097,-5838,43596,37758
Africa,"Gambia,The",2002,39.9,9.1,-4,3.08,2.69,1430711,57128,13005,-5709,44123,38415
Africa,"Gambia,The",2003,39.5,8.9,-3.8,3.06,2.68,1468917,57993,13088,-5597,44905,39308
Africa,"Gambia,The",2004,39,8.8,-3.6,3.03,2.66,1508001,58827,13195,-5474,45632,40158
Africa,"Gambia,The",2005,38.5,8.6,-3.5,2.99,2.64,1547905,59610,13312,-5356,46298,40942
Africa,"Gambia,The",2006,37.9,8.4,-3.3,2.94,2.61,1588501,60141,13391,-5242,46750,41508
Africa,"Gambia,The",2007,37.2,8.3,-3.1,2.89,2.58,1629648,60574,13445,-5117,47129,42012
Africa,Ghana,1998,35.6,10.9,-6.2,2.48,1.86,18261420,650289,198136,-113403,452153,338749
Africa,Ghana,1999,35.3,10.5,-5.4,2.48,1.94,18611539,657360,196166,-99572,461194,361622
Africa,Ghana,2000,35,10.2,-4.9,2.48,1.99,18981004,664715,194365,-93007,470349,377342
Africa,Ghana,2001,34.7,10,-4.4,2.47,2.03,19366666,671830,192892,-85020,478938,393918
Africa,Ghana,2002,34.3,9.7,-2.9,2.47,2.18,19778785,679203,191656,-57358,487547,430189
Africa,Ghana,2003,34,9.4,-3,2.45,2.15,20211370,686580,190593,-61038,495987,434949
Africa,Ghana,2004,33.8,9.2,-3.2,2.46,2.15,20650251,698598,190189,-65668,508409,442741
Africa,Ghana,2005,33.7,9,-2.4,2.47,2.23,21106982,711094,189963,-50657,521131,470475
Africa,Ghana,2006,33.5,8.8,-2.4,2.47,2.23,21583020,723247,189715,-52015,533532,481517
Africa,Ghana,2007,33.3,8.6,-2.5,2.47,2.22,22068569,735104,189569,-55833,545535,489702
Africa,Guinea,1998,41.1,16.1,6.4,2.51,3.14,7387802,303860,118796,47134,185064,232199
Africa,Guinea,1999,41.1,15.6,2.6,2.54,2.8,7610461,312409,118875,19483,193534,213017
Africa,Guinea,2000,41,15.2,-9.6,2.58,1.62,7780073,318750,118257,-74300,200492,126193
Africa,Guinea,2001,40.9,14.7,-31.8,2.62,-0.56,7821148,319963,115206,-248791,204758,-44033
Africa,Guinea,2002,40.8,14.3,0.5,2.65,2.7,7905703,322632,113210,3716,209422,213138
Africa,Guinea,2003,40.3,13.9,0.3,2.65,2.67,8120753,327348,112554,2193,214794,216987
Africa,Guinea,2004,39.8,13.4,-5.4,2.64,2.1,8316554,331165,111525,-45076,219640,174564
Africa,Guinea,2005,39.4,13,-8.9,2.64,1.74,8477819,333602,110042,-75707,223560,147853
Africa,Guinea,2006,38.9,12.6,-3.7,2.63,2.26,8649520,336207,108724,-32003,227482,195479
Africa,Guinea,2007,38.4,12.2,-0.7,2.62,2.55,8860380,340327,107831,-6202,232496,226294
Africa,Guinea-Bissau,1998,42.3,15.9,-14.5,2.64,1.19,1163292,49219,18496,-16856,30723,13866
Africa,Guinea-Bissau,1999,42.3,15.6,-5.9,2.67,2.08,1182537,50045,18448,-6965,31597,24632
Africa,Guinea-Bissau,2000,42.3,15.3,-5.8,2.7,2.12,1207665,51096,18465,-7017,32631,25615
Africa,Guinea-Bissau,2001,42.3,14.9,-6.3,2.74,2.11,1233497,52152,18379,-7734,33773,26039
Africa,Guinea-Bissau,2002,42.2,14.5,-5.7,2.77,2.2,1260374,53213,18326,-7172,34887,27716
Africa,Guinea-Bissau,2003,42.1,14.2,-5.9,2.79,2.21,1288445,54282,18283,-7563,35999,28436
Africa,Guinea-Bissau,2004,42,13.9,-5.7,2.82,2.25,1317452,55346,18260,-7496,37086,29590
Africa,Guinea-Bissau,2005,41.9,13.4,-5.5,2.85,2.3,1347728,56416,18046,-7399,38370,30971
Africa,Guinea-Bissau,2006,41.7,12.9,-5.3,2.87,2.35,1379383,57493,17849,-7297,39643,32347
Africa,Guinea-Bissau,2007,41.5,12.5,-5.3,2.9,2.37,1412264,58567,17667,-7485,40899,33414
Africa,Kenya,1998,34.7,11.8,0,2.29,2.29,29188217,1012831,344713,-584,668118,667535
Africa,Kenya,1999,36.3,12,-0.7,2.43,2.36,29874295,1082943,356998,-21211,725945,704735
Africa,Kenya,2000,37.8,12.1,-0.8,2.57,2.49,30605901,1155373,370025,-23873,785347,761475
Africa,Kenya,2001,39.2,12.1,0.9,2.7,2.79,31423090,1230214,381162,26710,849052,875762
Africa,Kenya,2002,40.5,12,-0.4,2.84,2.8,32313484,1307404,389054,-12279,918349,906070
Africa,Kenya,2003,40.6,11.8,0.1,2.87,2.89,33244826,1348078,392621,3989,955456,959446
Africa,Kenya,2004,40.6,11.5,0.1,2.91,2.92,34223442,1389130,392201,2396,996929,999325
Africa,Kenya,2005,40.5,11.1,0.3,2.94,2.97,35246309,1426066,389472,11279,1036594,1047873
