Name in English,Number of speakers,Degree of endangerment
Transylvanian Saxon,50000,Severely endangered
Turoyo,50000,Severely endangered
Võro-Seto,50000,Definitely endangered
West Greenlandic,50000,Vulnerable
Western Armenian (Turkey),50000,Definitely endangered
Zaramo,50000,Definitely endangered
Zenatiya,50000,Critically endangered
Papantla Totonac,49748,Definitely endangered
Wancho,49000,Vulnerable
Bhumji,47000,Vulnerable
Cosung (China),47000,Definitely endangered
Cosung (Viet Nam),47000,Definitely endangered
Baheng (China),45000,Vulnerable
Lumun,45000,Definitely endangered
Quichua (Loja),45000,Severely endangered
Chamling,44093,Definitely endangered
Irish,44000,Definitely endangered
Reshe,44000,Vulnerable
Sierra Otomí,43468,Vulnerable
Phuthi,43000,Definitely endangered
Rarotongan,43000,Vulnerable
Khalaj,42100,Vulnerable
Dungan,41000,Definitely endangered
Kheza,41000,Vulnerable
Jola-Kassa,40850,Vulnerable
Satār,40260,Vulnerable
Guaraní Boliviano,40000,Vulnerable
Gutob,40000,Vulnerable
Kheng,40000,Vulnerable
Laro,40000,Definitely endangered
Minyong,40000,Vulnerable
Mru,40000,Severely endangered
Patani Malay,40000,Vulnerable
"Quechua of Cajatambo, Pasco and northern Junín",40000,Severely endangered
Quichua (Napo),40000,Definitely endangered
Tangsa,40000,Vulnerable
Tetserret,40000,Severely endangered
Awajun,39000,Vulnerable
Khiamngan,38000,Vulnerable
Ngile,38000,Severely endangered
Phunoi,37311,Vulnerable
Lower Mixe,37000,Vulnerable
Maram,37000,Vulnerable
Western Mari,36822,Severely endangered
Chepang,36807,Vulnerable
Chontal Tabasco,36514,Severely endangered
Muji,36500,Definitely endangered
Akatek (Guatemala),35763,Vulnerable
Huichol,35724,Vulnerable
Romansh,35095,Definitely endangered
Apatani,35000,Vulnerable
Galo,35000,Vulnerable
Korwa,35000,Vulnerable
Shuar chicham,35000,Definitely endangered
Ticuna,35000,Definitely endangered
Wanka Quechua,35000,Severely endangered
Sikuani,34614,Vulnerable
Jakaltek (Guatemala),34038,Definitely endangered
Liangmai,34000,Vulnerable
Zeme,34000,Vulnerable
Highland Mazatec,33859,Vulnerable
Thangmi,33500,Definitely endangered
Nocte,33000,Vulnerable
Mayo,32869,Critically endangered
Lauje,32000,Vulnerable
Danuwar,31849,Severely endangered
Sirmaudi,31144,Critically endangered
Abaza,31000,Definitely endangered
Koch,31000,Definitely endangered
Amis,30000,Vulnerable
Biak,30000,Vulnerable
Bumthang,30000,Vulnerable
Burgenland Croatian,30000,Definitely endangered
Dzhidi,30000,Definitely endangered
Judeo-Berber (Israel),30000,Severely endangered
Kham,30000,Definitely endangered
Ladin,30000,Definitely endangered
Lepcha,30000,Definitely endangered
Maonan,30000,Vulnerable
"Mok (Myanmar, Thailand)",30000,Definitely endangered
Moro,30000,Definitely endangered
Mulam,30000,Vulnerable
North Saami,30000,Definitely endangered
Quechua of Cajamarca,30000,Severely endangered
Quichua (Pastaza),30000,Definitely endangered
Rushani,30000,Definitely endangered
Tagin,30000,Vulnerable
Tialo,30000,Vulnerable
Tidikelt,30000,Critically endangered
Toba,30000,Definitely endangered
Tundra Nenets,30000,Definitely endangered
Vojvodina Rusyn,30000,Definitely endangered
Wuse,30000,Vulnerable
Agul,29399,Definitely endangered
Rutul,29383,Definitely endangered
Bateri,29000,Definitely endangered
Mzieme,29000,Vulnerable
Ghale,28989,Vulnerable
Sierra Popoluca,28700,Vulnerable
Kurux (Nepal),28615,Vulnerable
Deori,28000,Definitely endangered
Soyaltepec Mazatec,27524,Vulnerable
Western Mazahua,27037,Definitely endangered
Sibe,27000,Severely endangered
Isthmus Náhuatl,26632,Vulnerable
Sunwar,26611,Vulnerable
Mancagne,26450,Vulnerable
Gadaba,26262,Critically endangered
Banat Bulgarian,25000,Definitely endangered
Csángó Hungarian,25000,Severely endangered
Koda,25000,Vulnerable
Minhe Monguor,25000,Definitely endangered
Miskito (Honduras),25000,Vulnerable
Olonetsian,25000,Definitely endangered
Saek,25000,Definitely endangered
Sioux,25000,Vulnerable
Tamazight (Beni Iznassen),25000,Definitely endangered
Tsakhur,25000,Definitely endangered
Warao,25000,Definitely endangered
Majhi,24664,Severely endangered
Jone,24000,Definitely endangered
Andi,23729,Definitely endangered
Guambiano,23462,Definitely endangered
Anal,23000,Vulnerable
Hawrami,23000,Definitely endangered
Juang,23000,Definitely endangered
Tiwa,23000,Definitely endangered
Embera (Panama),22485,Vulnerable
Ediamat,22025,Vulnerable
Mara,22000,Definitely endangered
Maring,22000,Vulnerable
Polci cluster,22000,Definitely endangered
Sarikoli,22000,Definitely endangered
Krongo,21688,Definitely endangered
Ashtiani,21000,Definitely endangered
Khunsari,21000,Definitely endangered
Semnani,21000,Definitely endangered
Plains Cree,20933,Vulnerable
Higher Reservoir Mazatec,20665,Vulnerable
Chilchotla Mazatec,20585,Vulnerable
"Zapotec of the Valleys, middle northwest",20448,Definitely endangered
Aluo,20000,Definitely endangered
Bangni,20000,Vulnerable
Bru,20000,Definitely endangered
Cho-ca-nga-ca-kha,20000,Definitely endangered
Crimean Tatar (Dobruja),20000,Severely endangered
Dhimal,20000,Severely endangered
Griko (Salento),20000,Severely endangered
Kaiowá Guarani,20000,Vulnerable
Karelian (Karelia),20000,Definitely endangered
Khoirao,20000,Vulnerable
Manchad,20000,Vulnerable
Mariupolitan Greek,20000,Severely endangered
Padam,20000,Vulnerable
Pemon (Venezuela),20000,Vulnerable
Tacenwit,20000,Vulnerable
Tangwang,20000,Definitely endangered
Western Neo-Aramaic,20000,Definitely endangered
Yaghnobi,20000,Definitely endangered
Yaw,20000,Definitely endangered
Yeyi,20000,Definitely endangered
Boro,19878,Definitely endangered
Sorbian,19500,Definitely endangered
Biete,19000,Definitely endangered
Hrangkhol,19000,Vulnerable
Terena,19000,Severely endangered
Kati,18700,Definitely endangered
Kulung,18686,Vulnerable
Kaingang,18500,Definitely endangered
Lowland Mazatec,18389,Vulnerable
Vafsi,18000,Definitely endangered
Bassari,17910,Vulnerable
Bayot,17150,Vulnerable
Pochuri,17000,Vulnerable
Tamahaq (Libya),17000,Definitely endangered
Swampy Cree,16685,Vulnerable
Koraga,16665,Critically endangered
Oyda,16597,Vulnerable
Pangvali,16285,Critically endangered
Shipibo-Conibo,16085,Definitely endangered
Amba,16000,Vulnerable
Tsez,15356,Definitely endangered
Bonan,15000,Definitely endangered
Chrau,15000,Definitely endangered
Dari,15000,Definitely endangered
Dzala,15000,Vulnerable
Ersu,15000,Definitely endangered
Gangte,15000,Definitely endangered
Gurdu-Mbaaru,15000,Severely endangered
Ha-lung Tibetan,15000,Definitely endangered
Hlersu,15000,Vulnerable
Juk,15000,Definitely endangered
Kwama,15000,Vulnerable
Laemae,15000,Severely endangered
Lavua,15000,Definitely endangered
Macushi (Brazil),15000,Vulnerable
Nahali,15000,Definitely endangered
Naluo,15000,Vulnerable
Nyoe,15000,Definitely endangered
O'odham (Akimel),15000,Definitely endangered
O'odham (Tohono),15000,Definitely endangered
Paiwan,15000,Vulnerable
Rao,15000,Definitely endangered
Semai,15000,Severely endangered
Shatt,15000,Severely endangered
Siwi,15000,Definitely endangered
Tagargrent,15000,Severely endangered
Tayurayt,15000,Vulnerable
Totoli,15000,Vulnerable
Aruaco,14799,Vulnerable
Yakkha,14648,Critically endangered
Kuruba,14613,Critically endangered
Tuamotuan,14400,Definitely endangered
Katla,14208,Definitely endangered
Garífuna (Belize),14061,Vulnerable
Thulung,14034,Definitely endangered
Bawm,14000,Definitely endangered
Guajajara,14000,Vulnerable
Niuean,14000,Definitely endangered
Uhunduni,14000,Vulnerable
Gusilay,13950,Vulnerable
Xavante,13303,Vulnerable
Dondo,13000,Vulnerable
Khampti,13000,Vulnerable
Nalu,13000,Definitely endangered
Tagoi,13000,Severely endangered
Karko,12986,Definitely endangered
San Mateo del Mar Huave,12667,Vulnerable
Q'eqchi' (Belize),12366,Vulnerable
Kadaru,12360,Definitely endangered
Mazatlán Mazatec,12340,Vulnerable
Badiaranke,12205,Severely endangered
Alune,12000,Vulnerable
Bangani,12000,Critically endangered
Chamalal,12000,Definitely endangered
Chru,12000,Vulnerable
Hill Miri,12000,Definitely endangered
Jinuo,12000,Definitely endangered
Muya,12000,Vulnerable
Samei,12000,Severely endangered
Tajio,12000,Vulnerable
Tobada',12000,Extinct
Yurt Tatar,12000,Definitely endangered
Yaqui (Mexico),11806,Vulnerable
Ch'orti' (Guatemala),11734,Definitely endangered
Filomeno Mata Totonac,11710,Vulnerable
Northern Totonac,11529,Critically endangered
Komo,11500,Definitely endangered
Tuwuli,11400,Vulnerable
Poqomam,11273,Definitely endangered
Idu,11101,Definitely endangered
Kari'ña (Venezuela),11000,Severely endangered
Machiguenga,11000,Definitely endangered
Piaroa (Venezuela),11000,Vulnerable
Tuvaluan,11000,Definitely endangered
Waunana (Colombia),11000,Vulnerable
Noon,10925,Vulnerable
Sampang,10810,Vulnerable
Central Alaskan Yupik (2),10400,Vulnerable
Central Alaskan Yupik (Nuniak Island),10400,Vulnerable
Bukiyip,10304,Vulnerable
Saparua,10216,Definitely endangered
Darai,10210,Severely endangered
Bandial,10125,Vulnerable
Bongo,10084,Definitely endangered
Northwestern Tarahumara,10031,Vulnerable
Algherese Catalan,10000,Definitely endangered
Aragonese,10000,Definitely endangered
Baima,10000,Vulnerable
Bukharic,10000,Definitely endangered
Bunun,10000,Vulnerable
Burunge,10000,Vulnerable
Chayahuita,10000,Definitely endangered
Cherokee (Oklahoma),10000,Definitely endangered
Dalecarlian,10000,Definitely endangered
"Huitoto (Colombia, Peru)",10000,Definitely endangered
Hulaula (Israel),10000,Severely endangered
Karang,10000,Vulnerable
Karelian (Tver),10000,Definitely endangered
Karone,10000,Vulnerable
Kryz,10000,Severely endangered
"Kurripako (Colombia, Venezuela)",10000,Definitely endangered
Kurtöp,10000,Vulnerable
Lamgang,10000,Critically endangered
Miqie,10000,Definitely endangered
Mojo,10000,Definitely endangered
Muot,10000,Critically endangered
Naiki,10000,Critically endangered
Ñandeva Guarani,10000,Vulnerable
Ngwaba,10000,Severely endangered
North Frisian,10000,Severely endangered
Northern Khanty,10000,Definitely endangered
Nyah Kur,10000,Definitely endangered
Nyenkha,10000,Vulnerable
Orang Hulu,10000,Definitely endangered
Otoro,10000,Severely endangered
Solon,10000,Definitely endangered
Southern Tujia,10000,Severely endangered
Taba,10000,Vulnerable
Talu,10000,Vulnerable
Tamazight (Tunisia),10000,Severely endangered
Tayal,10000,Vulnerable
Temein,10000,Severely endangered
Temiar,10000,Definitely endangered
Trukhmen,10000,Definitely endangered
Vidunda,10000,Vulnerable
Kogui,9911,Vulnerable
Paloor,9680,Vulnerable
Awakatek (Guatemala),9613,Vulnerable
Choctaw (Louisiana),9500,Vulnerable
Choctaw (Mississipi),9500,Vulnerable
Choctaw (Oklahoma),9500,Vulnerable
Gawar-Bati,9500,Definitely endangered
Taruang,9332,Vulnerable
Khaling,9288,Definitely endangered
Western Tarahumara,9196,Vulnerable
Nunavimmiutitut,9105,Vulnerable
Woods Cree,9095,Vulnerable
Phula (Viet Nam),9046,Definitely endangered
Dol-po,9000,Definitely endangered
Helong,9000,Severely endangered
Lisela,9000,Vulnerable
Motuo Menba,9000,Definitely endangered
Panamahka,9000,Vulnerable
Zuni,9000,Vulnerable
Mopán (Belize),8980,Severely endangered
Tulishi,8628,Severely endangered
Central Cuicatec,8621,Vulnerable
Ts'amay,8621,Definitely endangered
Phalura,8600,Definitely endangered
Northern Popoloc,8597,Vulnerable
Ixcatlán Mazatec,8593,Vulnerable
Patla-Chicontla Totonac,8590,Severely endangered
Toram,8456,Severely endangered
Northwestern Tlapanec,8409,Vulnerable
Dene,8195,Vulnerable
Micmac (Massachusetts),8145,Definitely endangered
Argobba,8000,Critically endangered
Austral dialects,8000,Definitely endangered
Belanda Bor,8000,Definitely endangered
Feroge,8000,Vulnerable
Hachijō,8000,Definitely endangered
Inga,8000,Severely endangered
Kanga,8000,Severely endangered
Lajia,8000,Definitely endangered
Lakha,8000,Definitely endangered
Mbya Guarani (Paraguay),8000,Definitely endangered
Mundurukú,8000,Vulnerable
Ojibwe,8000,Severely endangered
Quichua (Salasaca),8000,Definitely endangered
Rongpo,8000,Vulnerable
Sanyi,8000,Severely endangered
Temuan,8000,Severely endangered
Tingal,8000,Definitely endangered
Wampis,8000,Vulnerable
Wunai Bunu,8000,Definitely endangered
Yanesha,8000,Severely endangered
Mam (Mexico),7977,Severely endangered
Pana,7800,Definitely endangered
Macushi (Guyana),7750,Vulnerable
Chukchi,7742,Severely endangered
Cabécar,7622,Vulnerable
Awa Cuaiquer,7500,Critically endangered
Lishana Deni (Israel),7500,Severely endangered
Central Pame,7399,Vulnerable
Puinave,7377,Definitely endangered
Mebengokre,7266,Vulnerable
Tunebo,7231,Definitely endangered
Quechua of Peruvian Amazonia,7200,Vulnerable
Asur,7000,Definitely endangered
Bashkardi,7000,Definitely endangered
Burji,7000,Vulnerable
Choyi,7000,Definitely endangered
Gazi,7000,Definitely endangered
Guichong,7000,Vulnerable
Karagash,7000,Definitely endangered
Natanzi,7000,Severely endangered
Nayini,7000,Severely endangered
Parya,7000,Severely endangered
Segeju,7000,Severely endangered
Sivandi,7000,Definitely endangered
Soi,7000,Definitely endangered
Tucano (Brazil),7000,Vulnerable
Wapishana (Guyana),7000,Vulnerable
Yulu,7000,Vulnerable
Zhaba,7000,Vulnerable
Sakapultek,6973,Definitely endangered
Chara,6932,Vulnerable
Kosraean,6900,Severely endangered
Waunana (Panama),6882,Severely endangered
San Francisco del Mar Huave,6874,Critically endangered
Northern East Cree,6870,Vulnerable
Micmac (Canada),6850,Vulnerable
Northern Tepehuán,6802,Definitely endangered
Miju,6700,Vulnerable
Rio Grande Keresan,6685,Definitely endangered
Western Mazatec,6639,Vulnerable
Bussa,6624,Vulnerable
Beli,6600,Definitely endangered
Chesu,6600,Definitely endangered
Thuri,6600,Vulnerable
Karata,6574,Definitely endangered
Saulteau,6558,Vulnerable
Kumāle,6533,Severely endangered
Lower Northwestern Otomí,6509,Vulnerable
Dimme,6501,Vulnerable
Chiquitano (Bolivia),6500,Definitely endangered
Tumtum,6500,Severely endangered
Bezhta,6461,Definitely endangered
Thakali,6441,Vulnerable
Dongotono,6219,Vulnerable
Mawé,6219,Vulnerable
Shor,6210,Severely endangered
Central Tlapanec,6191,Vulnerable
Oji-Cree,6110,Vulnerable
Keiga,6072,Severely endangered
Ampibabo Lauje,6000,Vulnerable
Cashinahua (Brazil),6000,Vulnerable
Geji cluster,6000,Severely endangered
Mbya Guarani (Brazil),6000,Vulnerable
Moklen,6000,Definitely endangered
Nauruan,6000,Severely endangered
Nheengatu / Yeral (Brazil),6000,Severely endangered
Parachi,6000,Definitely endangered
Quechua of San Martín,6000,Severely endangered
Sawkna,6000,Critically endangered
Sulung,6000,Definitely endangered
Tindi,6000,Definitely endangered
Western Apache,6000,Definitely endangered
Yanomami (Brazil),6000,Vulnerable
Yazgulami,6000,Severely endangered
Chantyal,5912,Definitely endangered
Mortlockese,5904,Definitely endangered
Baníwa do Içana,5811,Vulnerable
"Akawaio (Guyana, Venezuela)",5800,Definitely endangered
Akhvakh,5793,Definitely endangered
Veps,5753,Severely endangered
Qikiqtaaluk nigiani,5740,Vulnerable
Sipakapense,5687,Definitely endangered
Bribri (Costa Rica),5647,Vulnerable
Bainouk-Gunyaamolo,5635,Vulnerable
Kwatay,5625,Severely endangered
Baheng (Viet Nam),5569,Vulnerable
Central Zoque,5500,Definitely endangered
Dameli,5500,Severely endangered
Sak (Bangladesh),5500,Severely endangered
Yidgha,5500,Definitely endangered
Southeastern Tarahumara,5406,Vulnerable
Chimané,5300,Vulnerable
Dilling,5295,Definitely endangered
San Dionisio del Mar Huave,5165,Definitely endangered
Lafofa,5140,Severely endangered
Akeu,5000,Definitely endangered
Anung (China),5000,Critically endangered
Bagvalal,5000,Definitely endangered
Bambassi,5000,Definitely endangered
Barí,5000,Vulnerable
Bartangi,5000,Severely endangered
Bokar,5000,Vulnerable
Brokpa,5000,Definitely endangered
Creek,5000,Definitely endangered
Cubeo (Colombia),5000,Vulnerable
Dagur (Hailar),5000,Definitely endangered
Damal,5000,Vulnerable
Dhaiso,5000,Definitely endangered
Gorum,5000,Definitely endangered
Guarayu,5000,Definitely endangered
Gutnish,5000,Definitely endangered
Hopi,5000,Vulnerable
Ilue,5000,Critically endangered
Jibbali,5000,Severely endangered
Kalasha,5000,Severely endangered
Kami,5000,Severely endangered
Kathu,5000,Definitely endangered
Khojki,5000,Severely endangered
Khwe,5000,Definitely endangered
Kom,5000,Definitely endangered
Korandje,5000,Severely endangered
Lachi,5000,Definitely endangered
Mak,5000,Definitely endangered
Manihiki,5000,Definitely endangered
Megleno-Romanian,5000,Severely endangered
Miji,5000,Definitely endangered
Mo'ang (China),5000,Definitely endangered
Mo'ang (Viet Nam),5000,Definitely endangered
Molise Croatian,5000,Severely endangered
Moroccan Judeo-Arabic (Morocco),5000,Severely endangered
Namuyi,5000,Vulnerable
Padoe,5000,Vulnerable
Patamona (Guyana),5000,Vulnerable
Pu,5000,Critically endangered
Pume,5000,Definitely endangered
Singpho,5000,Definitely endangered
Turi,5000,Definitely endangered
Udi (Azerbaijan),5000,Severely endangered
Yecuana (Venezuela),5000,Vulnerable
Jirel,4919,Definitely endangered
Dolgan,4865,Definitely endangered
Romani (Colombia),4858,Vulnerable
Tsum,4786,Definitely endangered
Northern Tlapanec,4771,Vulnerable
Taroko,4750,Vulnerable
Kivallirmiutut,4675,Vulnerable
Puebla Mazatec,4660,Vulnerable
Zapotec of Petapa,4613,Definitely endangered
Dungmali,4609,Definitely endangered
Saryg Yugur,4600,Severely endangered
Qikiqtaaluk uannangani,4550,Vulnerable
Afitti,4512,Severely endangered
Nomatsiguenga,4500,Severely endangered
Piapoko,4500,Definitely endangered
Tokelauan,4500,Severely endangered
Wotu,4500,Vulnerable
Wambule,4471,Vulnerable
Southern East Cree,4455,Vulnerable
Arbore,4441,Definitely endangered
Ebang,4412,Severely endangered
Tafi,4400,Vulnerable
Puma,4310,Severely endangered
Gyele,4280,Definitely endangered
Bwisi,4248,Definitely endangered
Eastern Montagnais,4180,Vulnerable
Atikamekw,4155,Vulnerable
Western Zoque,4100,Vulnerable
Acoma-Laguna,4000,Definitely endangered
Aka,4000,Definitely endangered
Baga Manduri,4000,Definitely endangered
Baga Sitemu,4000,Severely endangered
Botlikh,4000,Definitely endangered
Bunan,4000,Definitely endangered
Cashinahua (Peru),4000,Definitely endangered
Cha'palaa,4000,Definitely endangered
Evenki (Manchuria),4000,Severely endangered
Gazhuo,4000,Definitely endangered
Godoberi,4000,Definitely endangered
"Kari'ña (Guyana, Suriname)",4000,Severely endangered
Lishan Didan (Israel),4000,Severely endangered
Maleng,4000,Definitely endangered
Napu,4000,Vulnerable
Rahambuu,4000,Vulnerable
Shingsaba,4000,Vulnerable
Sinkiang Dagur,4000,Definitely endangered
Taa,4000,Definitely endangered
Tennet,4000,Vulnerable
Wapishana (Brazil),4000,Definitely endangered
Yagua,4000,Definitely endangered
Yanomám,4000,Vulnerable
Yanomami (Venezuela),4000,Vulnerable
Younuo Bunu,4000,Definitely endangered
Zenaga (Mauritania),4000,Severely endangered
Baghati,3976,Critically endangered
Bharmauri,3976,Definitely endangered
