,ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude,geometry
10,AF,Afghanistan,10959,101653,Brahui,Brahui,301000,1,Y,brh,Brahui,4,6,Islam,0.101,0.1,21,A012,South Asian Peoples,261,C0172,"South Asian, other",4,5,"Asia, Central",ASI,Asia,Y,Y,6,N,30.0908,64.73688,
11,AF,Afghanistan,11140,102927,British,British,1100,4,N,eng,English,5,1,Christianity,72,6,12,A003,Eurasian Peoples,110,C0012,Anglo-Celt,129,5,"Asia, Central",ASI,Asia,Y,N,,N,34.53312,69.190864,
12,AF,Afghanistan,16585,111780,Changar,Changar,2900,1,Y,urd,Urdu,5,6,Islam,0,0,21,A012,South Asian Peoples,272,C0183,Punjabi,3,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.470761,69.633613,
13,AF,Afghanistan,19437,104950,Chitrali,"Chitrali, Kho",9400,1,Y,khw,Khowar,0,6,Islam,0,0,21,A012,South Asian Peoples,261,C0172,"South Asian, other",2,5,"Asia, Central",ASI,Asia,Y,N,1,Y,36.653176,70.212641,
14,AF,Afghanistan,11510,102467,Darwazi,"Darwazi, Badakhshani",15000,1,Y,prs,Dari,5,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,38.05962,70.72609,
15,AF,Afghanistan,19007,114916,Deaf,Deaf,364000,1,Y,afg,Afghan Sign Language,1,6,Islam,0.05,,26,A017,Deaf,328,C0252,Deaf,216,5,"Asia, Central",ASI,Asia,Y,Y,7,Y,34.5325,69.136606,
16,AF,Afghanistan,12741,105087,"Garwi, Kohistani","Garwi, Kohistani",1800,1,Y,gwc,Kalami,4,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.01213209,71.44848521,
17,AF,Afghanistan,11871,103305,German,German,2700,4,N,deu,"German, Standard",5,1,Christianity,78,5,12,A003,Eurasian Peoples,175,C0079,Germanic,82,5,"Asia, Central",ASI,Asia,Y,N,,N,34.5502,69.1707,
18,AF,Afghanistan,17549,112971,Gujar (Muslim traditions),Gujar (Muslim traditions),17000,1,Y,gju,Gujari,3,6,Islam,0.029,0.029,21,A012,South Asian Peoples,272,C0183,Punjabi,3,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.24842,71.48793,
19,AF,Afghanistan,12076,103743,Hazara,Hazara,3637000,1,Y,haz,Hazaragi,3,6,Islam,0.029,0.029,14,A005,Persian-Median,268,C0179,Persian,5,5,"Asia, Central",ASI,Asia,Y,Y,73,Y,34.35039,66.94109,
20,AF,Afghanistan,20542,116135,Ishkashimi,Ishkashimi,2900,1,Y,isk,Ishkashimi,1,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,2,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,36.71347,71.563232,
21,AF,Afghanistan,12273,104096,Italian,Italian,1800,3,N,ita,Italian,5,1,Christianity,77,0.2,12,A003,Eurasian Peoples,193,C0098,Italian,60,5,"Asia, Central",ASI,Asia,Y,N,,N,34.5507,69.1717,
22,AF,Afghanistan,12526,104638,Karakalpak,Karakalpak,3000,1,Y,kaa,Karakalpak,4,6,Islam,0,0,24,A015,Turkic Peoples,202,C0108,Kazakh,8,5,"Asia, Central",ASI,Asia,Y,N,1,Y,36.66888,67.10763,
23,AF,Afghanistan,12599,104791,Kazakh,Kazakh,3000,1,Y,kaz,Kazakh,5,6,Islam,0,0,24,A015,Turkic Peoples,202,C0108,Kazakh,25,5,"Asia, Central",ASI,Asia,Y,N,1,Y,36.69403,69.12301,
24,AF,Afghanistan,18125,113631,Khatri (Sikh traditions),Khatri (Sikh traditions),2600,1,Y,pan,"Punjabi, Eastern",5,8,Other / Small,0,0,21,A012,South Asian Peoples,272,C0183,Punjabi,2,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.321458,69.14323,
25,AF,Afghanistan,18369,113939,Kohistani,Kohistani,44000,1,Y,mvy,"Kohistani, Indus",0,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,34.204284,69.45316,
26,AF,Afghanistan,11126,101922,"Kurd, Central","Kurd, Central",252000,1,Y,ckb,"Kurdish, Central",5,6,Islam,0.009,0.009,14,A005,Persian-Median,208,C0114,Kurd,5,5,"Asia, Central",ASI,Asia,Y,N,5,Y,34.5155,69.1952,
27,AF,Afghanistan,12933,105550,Kyrgyz,Kyrgyz,1200,1,Y,kir,Kyrgyz,5,6,Islam,0,0,24,A015,Turkic Peoples,204,C0110,Kyrgyz,13,5,"Asia, Central",ASI,Asia,Y,N,1,Y,37.06464,74.24692,
28,AF,Afghanistan,13761,106706,Moghal,Moghal,2100,1,Y,prs,Dari,5,6,Islam,0,0,21,A012,South Asian Peoples,312,C0224,Urdu Muslim,6,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,34.23626261,62.27592178,
29,AF,Afghanistan,13878,106912,Munji,Munji,6500,1,Y,mnj,Munji,0,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.79309,70.85744,
30,AF,Afghanistan,17714,113164,Mussali,Mussali,3000,1,Y,pan,"Punjabi, Eastern",5,6,Islam,0,0,21,A012,South Asian Peoples,272,C0183,Punjabi,3,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.422154,69.095272,
31,AF,Afghanistan,11835,103257,"Narisati, Arandui","Narisati, Arandui",36000,1,Y,gwt,Gawar-Bati,1,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.22045,71.53814,
32,AF,Afghanistan,10453,100556,"Nuristani, Ashkuni","Nuristani, Ashkuni",45000,1,Y,ask,Ashkun,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.11697,70.5923,
33,AF,Afghanistan,11936,103472,"Nuristani, Grangali","Nuristani, Grangali",11000,1,Y,nli,Grangali,0,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,34.87613,70.70943,
34,AF,Afghanistan,12482,104545,"Nuristani, Kamviri","Nuristani, Kamviri",20000,1,Y,xvi,Kamviri,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.40963,71.32342,
35,AF,Afghanistan,13431,106126,"Nuristani, Malakhel","Nuristani, Malakhel",3000,1,Y,prs,Dari,5,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,34.13174,69.01918,
36,AF,Afghanistan,10703,101097,Nuristani Narisati,"Nuristani, Narisati",135000,1,Y,bsh,Kati,0,6,Islam,0.101,0,14,A005,Persian-Median,251,C0159,Nuristan,2,5,"Asia, Central",ASI,Asia,Y,Y,3,N,35.48049,70.75245,
37,AF,Afghanistan,14461,108147,"Nuristani, Prasuni","Nuristani, Prasuni",9000,1,Y,prn,Prasuni,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.4495,70.92815,
38,AF,Afghanistan,15575,110188,"Nuristani, Tregami","Nuristani, Tregami",4000,1,Y,trm,Tregami,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.0073,71.11979,
39,AF,Afghanistan,15822,110623,"Nuristani, Waigeli","Nuristani, Waigeli",30000,1,Y,wbk,Waigali,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.17784,71.05953,
40,AF,Afghanistan,15735,110432,Ormuri,Ormuri,3000,1,Y,pbt,"Pashto, Southern",3,6,Islam,0,0,14,A005,Persian-Median,267,C0178,Pashtun,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,32.77482,68.91851,
41,AF,Afghanistan,14255,107747,Pahlavani,Pahlavani,3500,1,Y,prs,Dari,5,6,Islam,0,0,14,A005,Persian-Median,268,C0179,Persian,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,31.33334,62.19879,
42,AF,Afghanistan,14311,107875,Parachi,Parachi,7500,1,Y,prc,Parachi,0,6,Islam,0,0,14,A005,Persian-Median,268,C0179,Persian,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.07936,69.64313,
43,AF,Afghanistan,14322,107901,Parsee,Parsee,2200,1,Y,prs,Dari,5,8,Other / Small,0,0,14,A005,Persian-Median,265,C0176,Parsee,12,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,34.245037,61.583604,
44,AF,Afghanistan,14324,107906,Parya,"Parya, Laghmani",300,1,Y,paq,Parya,0,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,3,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,34.47933,69.89671,
45,AF,Afghanistan,13996,107420,"Pashayi, Northeast","Pashayi, Northeast",86000,1,Y,aee,"Pashai, Northeast",1,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,2,Y,34.66002,70.43166,
46,AF,Afghanistan,14042,107474,"Pashayi, Northwest","Pashayi, Northwest",90000,1,Y,glh,"Pashai, Northwest",1,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,2,Y,34.96106,70.04196,
47,AF,Afghanistan,15025,109456,"Pashayi, Southeast","Pashayi, Southeast",511000,1,Y,psi,"Pashai, Southeast",2,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,10,Y,34.43099,70.30351,
48,AF,Afghanistan,15072,109523,"Pashayi, Southwest","Pashayi, Southwest",113000,1,Y,psh,"Pashai, Southwest",1,6,Islam,0.009,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,2,Y,34.88104,69.77576,
49,AF,Afghanistan,14256,107909,"Pashtun, Northern","Pashtun, Northern",2570000,1,Y,pbu,"Pashto, Northern",5,6,Islam,0.01,0.01,14,A005,Persian-Median,267,C0178,Pashtun,16,5,"Asia, Central",ASI,Asia,Y,Y,51,Y,33.562,68.363,
50,AF,Afghanistan,14327,109502,"Pashtun, Southern","Pashtun, Southern",8933000,1,Y,pbt,"Pashto, Southern",3,6,Islam,0.019,0.019,14,A005,Persian-Median,267,C0178,Pashtun,6,5,"Asia, Central",ASI,Asia,Y,Y,179,Y,33.562,68.363,
51,AF,Afghanistan,14371,107987,Persian,Persian,619000,1,Y,pes,"Persian, Iranian",5,6,Islam,0.119,0.1,14,A005,Persian-Median,268,C0179,Persian,42,5,"Asia, Central",ASI,Asia,Y,Y,12,N,34.25821094,62.44608334,
52,AF,Afghanistan,14483,108182,Punjabi,Punjabi,5600,1,Y,pan,"Punjabi, Eastern",5,6,Islam,1,0.3,21,A012,South Asian Peoples,272,C0183,Punjabi,17,5,"Asia, Central",ASI,Asia,Y,Y,1,N,34.1478388,71.07321336,
53,AF,Afghanistan,15382,110802,"Punjabi, Western","Punjabi, Western",35000,1,Y,pnb,"Punjabi, Western",4,6,Islam,0.2,0.1,21,A012,South Asian Peoples,272,C0183,Punjabi,1,5,"Asia, Central",ASI,Asia,Y,Y,1,N,34.757485,70.301167,
54,AF,Afghanistan,14498,108231,Qizilbash,Qizilbash,279000,1,Y,prs,Dari,5,6,Islam,0,0,24,A015,Turkic Peoples,309,C0221,Turkish,1,5,"Asia, Central",ASI,Asia,Y,Y,6,Y,32.364777,62.09403,
55,AF,Afghanistan,14570,108397,"Romani, Balkan","Romani, Balkan",16000,1,Y,rmn,"Romani, Balkan",5,6,Islam,0,0,12,A003,Eurasian Peoples,354,C0279,Romani,17,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.35045528,62.15133813,
56,AF,Afghanistan,11597,102682,"Romani, Domari","Romani, Domari",10000,1,Y,rmt,Domari,3,6,Islam,0.015,0,14,A005,Persian-Median,353,C0278,Domari,15,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.47461,69.12958,
57,AF,Afghanistan,14598,108452,Russian,Russian,900,2,N,rus,Russian,5,7,Non-Religious,31,0.3,12,A003,Eurasian Peoples,283,C0194,"Slav, Eastern",71,5,"Asia, Central",ASI,Asia,Y,N,,N,34.708655,69.232984,
58,AF,Afghanistan,14727,108647,Sanglechi,Sanglechi,2600,1,Y,sgy,Sanglechi,1,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,2,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,36.67411,71.57368,
59,AF,Afghanistan,14782,108746,Sau,Sau,4500,1,Y,sdg,Savi,0,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.16964,71.4591,
60,AF,Afghanistan,14921,108967,Shughni,Shughni,42000,1,Y,sgh,Shughni,3,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,2,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,37.59163,71.37385,
61,AF,Afghanistan,14924,108970,Shumashti,Shumashti,1500,1,Y,sts,Shumashti,1,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,34.74897,70.75085,
62,AF,Afghanistan,14192,109027,Sindhi,Sindhi,23000,1,Y,snd,Sindhi,5,6,Islam,0.079,0.079,21,A012,South Asian Peoples,281,C0192,Sindhi,6,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.51736844,69.10888638,
63,AF,Afghanistan,15253,109822,Tangshuri,Tangshuri,15000,1,Y,prs,Dari,5,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,38.11159,71.21229,
64,AF,Afghanistan,15500,110076,Tirahi,Tirahi,5400,1,Y,pbt,"Pashto, Southern",3,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,31.81734,66.46972,
65,AF,Afghanistan,18274,113818,Turk,Turk,10000,1,Y,tur,Turkish,5,6,Islam,0,0,24,A015,Turkic Peoples,309,C0221,Turkish,68,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.558664,68.887656,
66,AF,Afghanistan,15654,110306,Turkmen,Turkmen,2030000,1,Y,tuk,Turkmen,5,6,Islam,0,0,24,A015,Turkic Peoples,310,C0222,Turkmen,11,5,"Asia, Central",ASI,Asia,Y,Y,41,Y,36.59488,64.75669,
67,AF,Afghanistan,15755,110469,Uyghur,Uyghur,4500,1,Y,uig,Uyghur,5,6,Islam,0.05,0.05,24,A015,Turkic Peoples,313,C0225,Uyghur,14,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.89379,62.7225,
68,AF,Afghanistan,15756,110472,"Uzbek, Southern","Uzbek, Southern",4074000,1,Y,uzs,"Uzbek, Southern",4,6,Islam,0.009,0.009,24,A015,Turkic Peoples,314,C0226,Uzbek,5,5,"Asia, Central",ASI,Asia,Y,Y,81,Y,36.33165,66.70937,
69,AF,Afghanistan,18693,103535,Wakhi,Wakhi,19000,1,Y,wbl,Wakhi,3,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,4,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,36.96537,72.85094,
70,AF,Afghanistan,15866,110689,Warduji,Warduji,7500,1,Y,wrd,Warduji,1,6,Islam,0,0,14,A005,Persian-Median,268,C0179,Persian,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,36.98774,70.86259,
71,AF,Afghanistan,15418,110865,Wotapuri-Katarqalai,Wotapuri-Katarqalai,3200,1,Y,pbu,"Pashto, Northern",5,6,Islam,0,0,21,A012,South Asian Peoples,201,C0107,Kashmiri,1,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,35.121354,70.981163,
72,AL,Albania,11880,103338,"Albanian, Gheg","Albanian, Gheg",1206000,2,N,aln,"Albanian, Gheg",5,6,Islam,36,0.584,12,A003,Eurasian Peoples,106,C0008,Albanian,11,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,Y,,N,41.10981496,20.08186067,
73,AL,Albania,10249,100222,"Albanian, Tosk","Albanian, Tosk",1573000,2,N,als,"Albanian, Tosk",5,6,Islam,17,0.584,12,A003,Eurasian Peoples,106,C0008,Albanian,13,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,Y,,N,40.54253,20.1558,
74,AL,Albania,15741,110448,"Americans, U.S.","Americans, U.S.",2100,5,N,eng,English,5,1,Christianity,78,33,18,A009,North American Peoples,109,C0011,Anglo-American,104,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,N,,N,41.333518,19.810378,
75,AL,Albania,10328,100356,Anglo-Canadian,Anglo-Canadian,800,5,N,eng,English,5,1,Christianity,78,10.5,12,A003,Eurasian Peoples,110,C0012,Anglo-Celt,21,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,N,,N,41.33587,19.834638,
76,AL,Albania,10431,100520,Aromanian,Aromanian,7300,3,N,rup,Aromanian,3,1,Christianity,95,0.8,12,A003,Eurasian Peoples,276,C0187,Romanian,8,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,Y,,N,40.23232,20.63302,
77,AL,Albania,19007,114916,Deaf,Deaf,15000,2,N,sqk,Albanian Sign Language,2,6,Islam,30.47,,26,A017,Deaf,328,C0252,Deaf,216,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,Y,,N,41.32315375,19.79790902,
78,AL,Albania,20676,117066,"Egyptian, Balkan","Egyptian, Balkan",3000,1,Y,als,"Albanian, Tosk",5,6,Islam,4,0,12,A003,Eurasian Peoples,106,C0008,Albanian,5,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,N,1,N,41.345601,19.818675,
79,AL,Albania,19215,115094,"European, general","European, general",6400,3,N,eng,English,5,1,Christianity,65,0.5,12,A003,Eurasian Peoples,110,C0012,Anglo-Celt,7,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,N,,N,41.421921,19.892526,
80,AL,Albania,18765,114431,Gorani,Gorani,36000,1,Y,srp,Serbian,5,6,Islam,5,0,12,A003,Eurasian Peoples,284,C0195,"Slav, Southern",4,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,Y,1,N,40.660934,19.698161,
81,AL,Albania,11942,103480,Greek,Greek,28000,3,N,ell,Greek,5,1,Christianity,90,0.2,12,A003,Eurasian Peoples,178,C0082,Greek,74,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,N,,N,40.07766,20.18662,
82,AL,Albania,12273,104096,Italian,Italian,7800,3,N,ita,Italian,5,1,Christianity,87,1.1,12,A003,Eurasian Peoples,193,C0098,Italian,60,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,N,,N,41.324095,19.801377,
83,AL,Albania,13186,105968,Macedonian,Macedonian,5500,3,N,mkd,Macedonian,5,1,Christianity,90,1,12,A003,Eurasian Peoples,284,C0195,"Slav, Southern",29,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,Y,,N,41.68565,20.14576,
84,AL,Albania,13798,106775,Montenegrin,Montenegrin,1300,3,N,srp,Serbian,5,1,Christianity,70,0.14,12,A003,Eurasian Peoples,284,C0195,"Slav, Southern",9,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,N,,N,40.52515947,19.9205882,
85,AL,Albania,14567,108394,"Romani, Vlax","Romani, Vlax",7400,4,N,rmy,"Romani, Vlax",4,6,Islam,25,6,12,A003,Eurasian Peoples,354,C0279,Romani,30,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,N,,N,40.80073826,19.91142436,
86,AL,Albania,14864,108856,Serb,Serb,1300,3,N,srp,Serbian,5,1,Christianity,69,0.05,12,A003,Eurasian Peoples,284,C0195,"Slav, Southern",39,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,Y,,N,40.53107063,19.92169761,
87,AL,Albania,18274,113818,Turk,Turk,1700,1,Y,tur,Turkish,5,6,Islam,0.01,0.003,24,A015,Turkic Peoples,309,C0221,Turkish,68,9,"Europe, Eastern and Eurasia",EUR,Europe,Y,Y,1,Y,41.338572,19.796522,
88,AG,Algeria,10379,100226,"Algerian, Arabic-speaking","Algerian, Arabic-speaking",28375000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,1.5,1.482,10,A001,Arab World,115,C0017,"Arab, Maghreb",18,6,"Africa, North and Middle East",AFR,Africa,Y,Y,568,N,35.99742458,5.389438574,
89,AG,Algeria,11722,102879,"Arab, Egyptian","Arab, Egyptian",17000,2,N,arz,"Arabic, Egyptian Spoken",4,6,Islam,11,2,10,A001,Arab World,163,C0067,Egyptian,33,6,"Africa, North and Middle East",AFR,Africa,Y,N,,N,36.70941315,3.098095943,
90,AG,Algeria,12247,104056,"Arab, Iraqi","Arab, Iraqi",4500,1,Y,acm,"Arabic, Mesopotamian Spoken",4,6,Islam,0.699,0.699,10,A001,Arab World,113,C0015,"Arab, Levant",23,6,"Africa, North and Middle East",AFR,Africa,Y,N,1,N,28.48947,1.28377,
91,AG,Algeria,11284,101950,"Bedouin, Chaamba","Bedouin, Chaamba",131000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0,0,10,A001,Arab World,137,C0041,"Bedouin, Saharan",1,6,"Africa, North and Middle East",AFR,Africa,Y,Y,3,Y,33.087693,4.379327,
92,AG,Algeria,11633,102751,"Bedouin, Dui-Menia","Bedouin, Dui-Menia",78000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0.009,0,10,A001,Arab World,137,C0041,"Bedouin, Saharan",1,6,"Africa, North and Middle East",AFR,Africa,Y,Y,2,Y,30.86561001,-2.458410721,
93,AG,Algeria,12944,105567,"Bedouin, Laguat","Bedouin, Laguat",79000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0,0,10,A001,Arab World,137,C0041,"Bedouin, Saharan",1,6,"Africa, North and Middle East",AFR,Africa,Y,Y,2,Y,33.95739228,3.103844449,
94,AG,Algeria,13922,107028,"Bedouin, Nail","Bedouin, Nail",37000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0,0,10,A001,Arab World,137,C0041,"Bedouin, Saharan",1,6,"Africa, North and Middle East",AFR,Africa,Y,Y,1,Y,34.14495886,4.588845476,
95,AG,Algeria,14584,108427,"Bedouin, Ruarha","Bedouin, Ruarha",79000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0,0,10,A001,Arab World,115,C0017,"Arab, Maghreb",1,6,"Africa, North and Middle East",AFR,Africa,Y,Y,2,Y,33.52546407,6.014430076,
96,AG,Algeria,14938,108988,"Bedouin, Sidi","Bedouin, Sidi",132000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0.009,0,10,A001,Arab World,137,C0041,"Bedouin, Saharan",1,6,"Africa, North and Middle East",AFR,Africa,Y,Y,3,Y,27.611488,-3.430999,
97,AG,Algeria,15095,109560,"Bedouin, Suafa","Bedouin, Suafa",125000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0.009,0,10,A001,Arab World,137,C0041,"Bedouin, Saharan",1,6,"Africa, North and Middle East",AFR,Africa,Y,Y,2,Y,33.95742204,6.849871519,
98,AG,Algeria,15199,109730,"Bedouin, Tajakant","Bedouin, Tajakant",1696000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0,0,10,A001,Arab World,137,C0041,"Bedouin, Saharan",2,6,"Africa, North and Middle East",AFR,Africa,Y,Y,34,Y,35.42078,3.23033,
99,AG,Algeria,16103,111176,"Bedouin, Ziban","Bedouin, Ziban",263000,1,Y,arq,"Arabic, Algerian Spoken",4,6,Islam,0,0,10,A001,Arab World,137,C0041,"Bedouin, Saharan",1,6,"Africa, North and Middle East",AFR,Africa,Y,Y,5,Y,28.419452,-5.944667,
